city,year,month,avg_temp_c,precipitation_mm,sunshine_hours,humidity_pct,pressure_hpa,wind_speed_ms,evapotranspiration_mm,soil_temp_c,soil_moisture_m3m3,country,region
Thailand/nakhon_ratchasima,2010,2,27.3,0.1,11.0,72,990.5,5.4,3.99,28.2,0.359,Thailand,nakhon_ratchasima
Thailand/nakhon_ratchasima,2010,2,27.1,0.2,11.0,74,989.5,4.7,3.77,28.3,0.351,Thailand,nakhon_ratchasima
Thailand/nakhon_ratchasima,2010,2,27.4,0.7,11.0,73,989.7,5.0,4.15,28.7,0.345,Thailand,nakhon_ratchasima
Thailand/nakhon_ratchasima,2010,2,27.3,0.5,11.0,76,990.0,4.7,4.03,28.7,0.339,Thailand,nakhon_ratchasima
Thailand/nakhon_ratchasima,2010,2,27.4,0.2,11.0,75,990.2,4.8,4.09,29.0,0.335,Thailand,nakhon_ratchasima
Thailand/nakhon_ratchasima,2010,2,27.5,0.1,11.0,70,990.8,5.6,3.95,28.9,0.327,Thailand,nakhon_ratchasima
Thailand/nakhon_ratchasima,2010,2,27.5,0.3,11.0,71,991.3,4.0,3.87,29.0,0.323,Thailand,nakhon_ratchasima
Thailand/nakhon_ratchasima,2010,2,27.7,0.0,11.0,70,990.3,4.0,4.1,29.4,0.316,Thailand,nakhon_ratchasima
Thailand/nakhon_ratchasima,2010,2,27.9,0.0,11.0,67,989.9,4.6,4.35,29.6,0.307,Thailand,nakhon_ratchasima
Thailand/nakhon_ratchasima,2010,2,28.5,0.0,11.0,63,989.7,5.7,4.89,30.0,0.298,Thailand,nakhon_ratchasima
Thailand/nakhon_ratchasima,2010,2,28.9,0.0,11.0,63,991.0,5.4,4.84,30.6,0.29,Thailand,nakhon_ratchasima
Thailand/nakhon_ratchasima,2010,2,29.4,0.0,11.0,59,990.9,5.5,5.02,30.9,0.283,Thailand,nakhon_ratchasima
Thailand/nakhon_ratchasima,2010,2,28.5,0.2,11.0,65,990.0,4.9,4.24,30.7,0.279,Thailand,nakhon_ratchasima
Thailand/nakhon_ratchasima,2010,2,28.6,0.0,11.0,66,989.0,6.0,4.41,30.7,0.276,Thailand,nakhon_ratchasima
Thailand/nakhon_ratchasima,2010,2,29.1,0.0,11.0,62,989.7,5.9,4.61,31.0,0.273,Thailand,nakhon_ratchasima
Thailand/nakhon_ratchasima,2010,2,29.0,0.3,11.0,63,990.3,5.5,4.13,30.7,0.271,Thailand,nakhon_ratchasima
Thailand/nakhon_ratchasima,2010,2,27.8,0.4,11.0,62,991.5,5.3,4.0,30.1,0.273,Thailand,nakhon_ratchasima
Thailand/nakhon_ratchasima,2010,2,26.9,0.0,11.0,55,992.2,9.4,5.3,29.7,0.27,Thailand,nakhon_ratchasima
Thailand/nakhon_ratchasima,2010,2,25.5,0.0,11.0,54,992.9,11.3,5.3,28.9,0.266,Thailand,nakhon_ratchasima
Thailand/nakhon_ratchasima,2010,2,24.7,0.0,11.0,57,992.4,7.9,3.98,27.8,0.263,Thailand,nakhon_ratchasima
Thailand/nakhon_ratchasima,2010,2,26.5,0.8,11.0,72,990.6,6.4,4.29,29.1,0.264,Thailand,nakhon_ratchasima
Thailand/nakhon_ratchasima,2010,2,27.7,0.0,11.0,67,990.4,7.0,4.58,29.8,0.271,Thailand,nakhon_ratchasima
Thailand/nakhon_ratchasima,2010,2,28.3,0.1,11.0,64,988.8,7.0,4.86,30.6,0.269,Thailand,nakhon_ratchasima
Thailand/nakhon_ratchasima,2010,2,28.2,0.0,11.0,61,988.1,10.7,5.37,30.3,0.267,Thailand,nakhon_ratchasima
Thailand/nakhon_ratchasima,2010,2,28.9,0.0,11.0,56,988.3,10.7,6.1,30.9,0.264,Thailand,nakhon_ratchasima
Thailand/nakhon_ratchasima,2010,2,28.6,0.0,11.0,53,988.0,7.4,5.84,30.9,0.261,Thailand,nakhon_ratchasima
Thailand/nakhon_ratchasima,2010,2,29.4,0.0,11.046555555555555,51,987.6,7.3,6.14,31.8,0.257,Thailand,nakhon_ratchasima
Thailand/nakhon_ratchasima,2010,2,29.5,0.0,11.04128888888889,57,988.6,9.0,5.91,31.9,0.255,Thailand,nakhon_ratchasima
Thailand/nakhon_ratchasima,2010,3,29.7,0.0,11.035975,55,989.9,8.4,5.81,32.2,0.254,Thailand,nakhon_ratchasima
Thailand/nakhon_ratchasima,2010,3,29.4,0.0,11.030616666666667,60,989.1,8.2,5.29,32.1,0.253,Thailand,nakhon_ratchasima
Thailand/nakhon_ratchasima,2010,3,30.4,0.0,11.091847222222222,54,987.6,8.9,5.98,32.6,0.253,Thailand,nakhon_ratchasima
Thailand/nakhon_ratchasima,2010,3,30.0,0.0,11.152938888888889,50,987.7,9.5,6.68,32.5,0.252,Thailand,nakhon_ratchasima
Thailand/nakhon_ratchasima,2010,3,29.3,0.0,11.213916666666666,51,987.6,9.8,6.77,32.2,0.251,Thailand,nakhon_ratchasima
Thailand/nakhon_ratchasima,2010,3,29.1,0.0,11.27479722222222,46,988.4,8.7,6.65,31.9,0.25,Thailand,nakhon_ratchasima
Thailand/nakhon_ratchasima,2010,3,30.2,0.0,11.269202777777776,49,988.7,6.9,6.3,33.1,0.25,Thailand,nakhon_ratchasima
Thailand/nakhon_ratchasima,2010,3,30.8,0.0,11.26356111111111,51,988.7,7.9,6.57,33.8,0.25,Thailand,nakhon_ratchasima
Thailand/nakhon_ratchasima,2010,3,30.3,0.0,11.257819444444445,51,991.3,8.2,6.15,33.5,0.25,Thailand,nakhon_ratchasima
Thailand/nakhon_ratchasima,2010,3,22.2,0.0,8.6654,50,996.5,18.1,5.28,27.7,0.249,Thailand,nakhon_ratchasima
Thailand/nakhon_ratchasima,2010,3,24.6,0.0,11.179833333333335,48,996.6,11.2,6.05,28.7,0.249,Thailand,nakhon_ratchasima
Thailand/nakhon_ratchasima,2010,3,27.8,0.0,11.37255,50,993.6,4.4,5.66,30.9,0.249,Thailand,nakhon_ratchasima
Thailand/nakhon_ratchasima,2010,3,29.8,0.0,11.366463888888887,50,990.7,8.2,6.33,32.3,0.249,Thailand,nakhon_ratchasima
Thailand/nakhon_ratchasima,2010,3,30.2,0.0,11.492677777777777,49,988.6,9.4,6.83,32.9,0.249,Thailand,nakhon_ratchasima
Thailand/nakhon_ratchasima,2010,3,30.6,0.0,11.486491666666668,50,988.7,6.3,6.2,33.7,0.249,Thailand,nakhon_ratchasima
Thailand/nakhon_ratchasima,2010,3,31.5,0.0,11.215780555555554,47,989.6,6.8,5.93,34.2,0.249,Thailand,nakhon_ratchasima
Thailand/nakhon_ratchasima,2010,3,29.5,0.1,10.491847222222223,50,993.2,10.4,6.07,33.0,0.252,Thailand,nakhon_ratchasima
Thailand/nakhon_ratchasima,2010,3,28.8,0.0,11.071294444444446,50,993.8,12.8,6.67,32.4,0.252,Thailand,nakhon_ratchasima
Thailand/nakhon_ratchasima,2010,3,28.5,0.0,11.660019444444444,46,991.2,6.7,6.1,32.4,0.251,Thailand,nakhon_ratchasima
Thailand/nakhon_ratchasima,2010,3,29.7,0.0,11.674905555555556,48,988.3,4.3,5.8,32.9,0.251,Thailand,nakhon_ratchasima
Thailand/nakhon_ratchasima,2010,3,29.7,0.1,11.11908611111111,55,987.7,5.7,4.89,32.9,0.25,Thailand,nakhon_ratchasima
Thailand/nakhon_ratchasima,2010,3,30.0,0.2,11.377391666666666,58,986.8,6.3,5.48,33.4,0.252,Thailand,nakhon_ratchasima
Thailand/nakhon_ratchasima,2010,3,30.2,0.0,11.711205555555555,57,986.1,6.4,5.74,33.7,0.252,Thailand,nakhon_ratchasima
Thailand/nakhon_ratchasima,2010,3,30.5,0.0,11.72318888888889,55,986.5,8.8,6.06,33.7,0.251,Thailand,nakhon_ratchasima
Thailand/nakhon_ratchasima,2010,3,31.2,0.0,11.735083333333334,52,986.6,5.5,5.61,34.4,0.251,Thailand,nakhon_ratchasima
Thailand/nakhon_ratchasima,2010,3,22.7,14.7,8.618455555555554,63,992.4,12.6,4.31,28.5,0.286,Thailand,nakhon_ratchasima
Thailand/nakhon_ratchasima,2010,3,24.8,0.0,5.014283333333333,60,992.6,6.2,3.11,27.0,0.4,Thailand,nakhon_ratchasima
Thailand/nakhon_ratchasima,2010,3,27.1,0.0,11.673538888888888,55,991.6,10.1,5.76,28.9,0.368,Thailand,nakhon_ratchasima
Thailand/nakhon_ratchasima,2010,3,27.9,0.0,11.781869444444446,57,991.2,8.0,5.82,30.2,0.339,Thailand,nakhon_ratchasima
Thailand/nakhon_ratchasima,2010,3,28.5,0.5,11.79368611111111,63,990.2,4.4,5.22,31.2,0.318,Thailand,nakhon_ratchasima
Thailand/nakhon_ratchasima,2010,3,29.2,0.0,11.805563888888889,66,989.4,7.7,5.55,32.0,0.305,Thailand,nakhon_ratchasima
Thailand/nakhon_ratchasima,2010,4,29.7,0.0,11.817488888888889,62,988.8,5.2,5.37,32.7,0.292,Thailand,nakhon_ratchasima
Thailand/nakhon_ratchasima,2010,4,30.6,0.1,11.82943611111111,60,988.4,5.5,5.81,33.7,0.284,Thailand,nakhon_ratchasima
Thailand/nakhon_ratchasima,2010,4,30.4,2.5,11.841391666666667,64,988.8,5.1,4.93,33.7,0.289,Thailand,nakhon_ratchasima
Thailand/nakhon_ratchasima,2010,4,30.7,0.1,11.22058611111111,66,989.3,6.3,5.14,33.3,0.312,Thailand,nakhon_ratchasima
Thailand/nakhon_ratchasima,2010,4,31.7,0.1,11.86525,59,987.7,7.9,6.13,34.2,0.299,Thailand,nakhon_ratchasima
Thailand/nakhon_ratchasima,2010,4,32.2,0.1,11.87711111111111,55,987.6,8.1,6.58,34.8,0.287,Thailand,nakhon_ratchasima
Thailand/nakhon_ratchasima,2010,4,32.3,0.1,11.888902777777778,56,988.9,7.2,6.11,35.2,0.279,Thailand,nakhon_ratchasima
Thailand/nakhon_ratchasima,2010,4,32.2,1.0,11.900605555555556,57,989.1,5.6,5.89,35.6,0.275,Thailand,nakhon_ratchasima
Thailand/nakhon_ratchasima,2010,4,31.7,0.4,11.912197222222224,58,987.7,10.4,6.4,34.5,0.283,Thailand,nakhon_ratchasima
Thailand/nakhon_ratchasima,2010,4,31.2,0.2,11.923663888888889,55,985.8,11.0,6.59,34.2,0.277,Thailand,nakhon_ratchasima
Thailand/nakhon_ratchasima,2010,4,31.3,0.0,11.954069444444444,54,985.7,10.3,7.06,34.3,0.272,Thailand,nakhon_ratchasima
Thailand/nakhon_ratchasima,2010,4,31.4,0.0,11.964252777777777,55,985.4,12.1,7.33,34.4,0.266,Thailand,nakhon_ratchasima
Thailand/nakhon_ratchasima,2010,4,31.6,0.0,11.974213888888888,54,986.5,9.4,7.02,34.8,0.261,Thailand,nakhon_ratchasima
Thailand/nakhon_ratchasima,2010,4,32.1,0.0,11.967852777777777,50,987.3,7.3,6.61,35.4,0.258,Thailand,nakhon_ratchasima
Thailand/nakhon_ratchasima,2010,4,32.5,0.2,11.978386111111112,53,988.1,6.3,5.83,36.0,0.255,Thailand,nakhon_ratchasima
Thailand/nakhon_ratchasima,2010,4,28.3,15.0,5.853263888888889,76,989.5,7.1,3.28,31.8,0.35,Thailand,nakhon_ratchasima
Thailand/nakhon_ratchasima,2010,4,26.7,11.7,7.84416388888889,83,991.3,5.1,3.5,30.1,0.459,Thailand,nakhon_ratchasima
Thailand/nakhon_ratchasima,2010,4,28.4,0.6,12.0,74,989.9,4.5,5.45,31.1,0.418,Thailand,nakhon_ratchasima
Thailand/nakhon_ratchasima,2010,4,29.8,0.0,12.010305555555556,65,987.4,8.3,6.14,31.8,0.376,Thailand,nakhon_ratchasima
Thailand/nakhon_ratchasima,2010,4,30.4,0.0,12.009091666666668,62,986.4,9.6,6.5,32.5,0.344,Thailand,nakhon_ratchasima
Thailand/nakhon_ratchasima,2010,4,30.9,0.0,12.0,61,986.5,9.9,6.58,33.0,0.319,Thailand,nakhon_ratchasima
Thailand/nakhon_ratchasima,2010,4,31.9,0.0,12.0066,56,986.9,9.3,6.71,33.9,0.3,Thailand,nakhon_ratchasima
Thailand/nakhon_ratchasima,2010,4,31.0,3.2,12.0,63,988.5,6.8,5.8,34.3,0.295,Thailand,nakhon_ratchasima
Thailand/nakhon_ratchasima,2010,4,28.5,2.9,11.443236111111112,71,991.0,7.9,4.65,31.9,0.363,Thailand,nakhon_ratchasima
Thailand/nakhon_ratchasima,2010,4,29.5,0.9,12.002683333333334,70,989.5,4.7,5.12,32.5,0.341,Thailand,nakhon_ratchasima
Thailand/nakhon_ratchasima,2010,4,29.3,3.8,9.998352777777777,74,991.1,4.7,4.48,32.4,0.334,Thailand,nakhon_ratchasima
Thailand/nakhon_ratchasima,2010,4,27.1,15.9,6.021788888888889,83,991.6,4.4,3.2,30.0,0.423,Thailand,nakhon_ratchasima
Thailand/nakhon_ratchasima,2010,4,28.2,3.1,11.663186111111111,78,990.6,4.6,4.67,30.8,0.438,Thailand,nakhon_ratchasima
Thailand/nakhon_ratchasima,2010,4,29.2,0.6,12.0,72,989.5,4.8,5.28,31.6,0.411,Thailand,nakhon_ratchasima
Thailand/nakhon_ratchasima,2010,4,29.9,0.1,12.0,69,989.6,3.8,5.41,32.2,0.376,Thailand,nakhon_ratchasima
Thailand/nakhon_ratchasima,2010,5,28.0,7.9,11.425663888888888,78,990.0,6.3,4.28,31.1,0.387,Thailand,nakhon_ratchasima
Thailand/nakhon_ratchasima,2010,5,29.1,0.1,12.0,73,988.7,3.2,4.5,31.4,0.414,Thailand,nakhon_ratchasima
Thailand/nakhon_ratchasima,2010,5,28.2,15.1,10.13373611111111,79,986.9,3.7,3.63,30.6,0.405,Thailand,nakhon_ratchasima
Thailand/nakhon_ratchasima,2010,5,29.3,0.0,11.976833333333333,73,985.6,5.8,5.08,31.2,0.364,Thailand,nakhon_ratchasima
Thailand/nakhon_ratchasima,2010,5,29.8,1.4,11.67811388888889,71,984.8,8.2,5.4,31.7,0.348,Thailand,nakhon_ratchasima
Thailand/nakhon_ratchasima,2010,5,30.7,0.8,12.0,67,984.8,7.5,5.68,32.4,0.347,Thailand,nakhon_ratchasima
Thailand/nakhon_ratchasima,2010,5,31.5,0.2,12.0,66,984.7,7.1,5.94,33.1,0.328,Thailand,nakhon_ratchasima
Thailand/nakhon_ratchasima,2010,5,32.1,0.0,12.050899999999999,61,984.0,7.8,6.3,33.9,0.311,Thailand,nakhon_ratchasima
Thailand/nakhon_ratchasima,2010,5,32.4,0.0,12.0,62,983.2,9.0,5.97,34.2,0.296,Thailand,nakhon_ratchasima
Thailand/nakhon_ratchasima,2010,5,31.5,1.6,12.047169444444444,66,983.5,9.0,5.95,34.2,0.294,Thailand,nakhon_ratchasima
Thailand/nakhon_ratchasima,2010,5,29.1,12.5,12.0,76,986.0,6.3,4.89,32.6,0.388,Thailand,nakhon_ratchasima
Thailand/nakhon_ratchasima,2010,5,28.8,4.9,10.317663888888887,80,986.5,3.7,4.43,31.6,0.449,Thailand,nakhon_ratchasima
Thailand/nakhon_ratchasima,2010,5,30.1,0.4,12.110816666666667,72,986.1,4.8,5.53,32.3,0.418,Thailand,nakhon_ratchasima
Thailand/nakhon_ratchasima,2010,5,31.3,0.0,12.108866666666666,63,984.9,5.1,5.73,33.0,0.379,Thailand,nakhon_ratchasima
Thailand/nakhon_ratchasima,2010,5,31.6,0.5,12.106880555555554,64,984.8,6.0,5.67,33.5,0.35,Thailand,nakhon_ratchasima
Thailand/nakhon_ratchasima,2010,5,30.7,1.8,11.096369444444445,70,986.2,3.8,4.74,33.1,0.335,Thailand,nakhon_ratchasima
Thailand/nakhon_ratchasima,2010,5,29.9,3.1,11.707638888888889,75,987.3,3.9,4.46,32.8,0.335,Thailand,nakhon_ratchasima
Thailand/nakhon_ratchasima,2010,5,30.0,3.8,11.555833333333334,72,988.0,6.4,4.83,32.4,0.373,Thailand,nakhon_ratchasima
Thailand/nakhon_ratchasima,2010,5,30.7,0.3,11.657047222222223,67,988.1,4.7,5.64,33.1,0.357,Thailand,nakhon_ratchasima
Thailand/nakhon_ratchasima,2010,5,31.3,0.0,11.967049999999999,64,987.5,7.4,5.83,33.5,0.331,Thailand,nakhon_ratchasima
Thailand/nakhon_ratchasima,2010,5,31.5,0.7,12.0,61,987.4,9.3,6.11,33.8,0.311,Thailand,nakhon_ratchasima
Thailand/nakhon_ratchasima,2010,5,30.7,3.2,10.484363888888888,66,986.7,10.3,5.66,33.5,0.311,Thailand,nakhon_ratchasima
Thailand/nakhon_ratchasima,2010,5,30.4,1.6,11.257508333333334,65,985.4,11.2,5.53,33.0,0.326,Thailand,nakhon_ratchasima
Thailand/nakhon_ratchasima,2010,5,30.3,0.1,8.428958333333334,65,984.7,9.7,5.03,32.6,0.312,Thailand,nakhon_ratchasima
Thailand/nakhon_ratchasima,2010,5,29.3,5.2,8.693727777777777,72,984.6,10.5,3.55,31.1,0.321,Thailand,nakhon_ratchasima
Thailand/nakhon_ratchasima,2010,5,28.4,5.7,7.960422222222222,73,984.7,12.6,4.42,30.5,0.366,Thailand,nakhon_ratchasima
Thailand/nakhon_ratchasima,2010,5,29.6,0.3,12.0,67,985.2,12.6,5.75,31.6,0.36,Thailand,nakhon_ratchasima
Thailand/nakhon_ratchasima,2010,5,29.2,1.8,9.626705555555555,70,986.6,11.7,5.27,31.6,0.342,Thailand,nakhon_ratchasima
Thailand/nakhon_ratchasima,2010,5,28.9,10.9,9.125275,72,986.6,10.4,4.46,31.0,0.386,Thailand,nakhon_ratchasima
Thailand/nakhon_ratchasima,2010,5,30.2,0.2,12.217091666666667,67,986.5,10.4,6.05,31.9,0.406,Thailand,nakhon_ratchasima
Thailand/nakhon_ratchasima,2010,5,30.7,0.1,12.14365,65,986.5,10.8,6.31,32.7,0.362,Thailand,nakhon_ratchasima
Thailand/nakhon_ratchasima,2010,6,31.4,0.0,12.212605555555555,59,985.9,13.0,7.05,33.3,0.332,Thailand,nakhon_ratchasima
Thailand/nakhon_ratchasima,2010,6,31.7,0.3,12.0,58,985.6,12.9,6.89,33.8,0.309,Thailand,nakhon_ratchasima
Thailand/nakhon_ratchasima,2010,6,29.5,8.2,3.985227777777778,71,987.2,5.1,3.52,32.5,0.329,Thailand,nakhon_ratchasima
Thailand/nakhon_ratchasima,2010,6,27.8,26.2,8.4646,83,987.5,5.0,3.95,30.9,0.44,Thailand,nakhon_ratchasima
Thailand/nakhon_ratchasima,2010,6,27.4,11.8,5.761144444444444,84,985.9,2.7,3.02,29.8,0.482,Thailand,nakhon_ratchasima
Thailand/nakhon_ratchasima,2010,6,27.5,15.0,6.560066666666667,83,985.3,6.1,2.95,29.2,0.471,Thailand,nakhon_ratchasima
Thailand/nakhon_ratchasima,2010,6,28.2,6.3,11.036341666666667,77,986.0,9.3,4.34,29.8,0.464,Thailand,nakhon_ratchasima
Thailand/nakhon_ratchasima,2010,6,28.4,5.9,10.644833333333334,78,986.2,6.8,4.46,30.0,0.474,Thailand,nakhon_ratchasima
Thailand/nakhon_ratchasima,2010,6,28.0,8.9,9.484908333333333,81,986.5,5.6,3.9,29.8,0.472,Thailand,nakhon_ratchasima
Thailand/nakhon_ratchasima,2010,6,27.9,2.1,11.120377777777778,78,987.5,6.3,3.97,29.6,0.449,Thailand,nakhon_ratchasima
Thailand/nakhon_ratchasima,2010,6,28.4,0.4,11.812877777777778,74,987.8,7.0,4.96,30.0,0.44,Thailand,nakhon_ratchasima
Thailand/nakhon_ratchasima,2010,6,28.9,1.7,12.116086111111112,73,987.9,6.6,5.47,30.7,0.424,Thailand,nakhon_ratchasima
Thailand/nakhon_ratchasima,2010,6,29.4,2.9,12.257850000000001,72,987.6,8.2,5.26,30.8,0.419,Thailand,nakhon_ratchasima
Thailand/nakhon_ratchasima,2010,6,29.9,0.5,11.545730555555554,70,987.7,8.9,5.62,31.1,0.413,Thailand,nakhon_ratchasima
Thailand/nakhon_ratchasima,2010,6,29.6,5.4,11.605541666666666,72,987.1,8.5,5.4,31.3,0.404,Thailand,nakhon_ratchasima
Thailand/nakhon_ratchasima,2010,6,29.5,0.6,12.108258333333334,70,986.7,8.2,5.32,30.9,0.43,Thailand,nakhon_ratchasima
Thailand/nakhon_ratchasima,2010,6,29.9,2.6,12.322319444444444,69,986.4,7.0,5.16,31.3,0.414,Thailand,nakhon_ratchasima
Thailand/nakhon_ratchasima,2010,6,29.9,0.7,12.464441666666666,68,986.9,8.8,5.67,31.3,0.412,Thailand,nakhon_ratchasima
Thailand/nakhon_ratchasima,2010,6,29.6,6.5,12.0,70,986.9,9.1,5.68,31.5,0.397,Thailand,nakhon_ratchasima
Thailand/nakhon_ratchasima,2010,6,29.5,12.6,12.388675000000001,72,985.2,6.7,5.48,31.5,0.429,Thailand,nakhon_ratchasima
Thailand/nakhon_ratchasima,2010,6,28.3,10.6,8.486933333333333,80,983.8,5.1,3.91,30.7,0.438,Thailand,nakhon_ratchasima
Thailand/nakhon_ratchasima,2010,6,26.6,6.2,6.244633333333334,84,984.6,7.0,2.52,28.7,0.477,Thailand,nakhon_ratchasima
Thailand/nakhon_ratchasima,2010,6,27.7,1.8,9.52065,76,985.9,12.0,4.65,29.2,0.458,Thailand,nakhon_ratchasima
Thailand/nakhon_ratchasima,2010,6,28.4,1.0,12.597327777777776,73,985.4,11.0,5.01,29.7,0.428,Thailand,nakhon_ratchasima
Thailand/nakhon_ratchasima,2010,6,29.3,2.1,12.379586111111111,71,984.2,9.1,5.06,30.1,0.421,Thailand,nakhon_ratchasima
Thailand/nakhon_ratchasima,2010,6,29.5,0.6,11.28196111111111,69,985.2,10.9,5.63,30.8,0.398,Thailand,nakhon_ratchasima
Thailand/nakhon_ratchasima,2010,6,29.6,0.0,8.891205555555556,69,985.8,8.8,5.2,30.9,0.375,Thailand,nakhon_ratchasima
Thailand/nakhon_ratchasima,2010,6,29.3,2.7,11.532716666666666,69,984.7,11.1,5.24,30.9,0.362,Thailand,nakhon_ratchasima
Thailand/nakhon_ratchasima,2010,6,28.7,2.6,12.013766666666665,73,985.1,10.0,4.96,30.5,0.382,Thailand,nakhon_ratchasima
Thailand/nakhon_ratchasima,2010,6,28.9,2.5,12.012527777777777,72,985.4,6.9,4.7,30.9,0.368,Thailand,nakhon_ratchasima
Thailand/nakhon_ratchasima,2010,7,28.6,2.4,10.405255555555556,72,985.6,6.6,4.34,30.5,0.378,Thailand,nakhon_ratchasima
Thailand/nakhon_ratchasima,2010,7,27.5,3.9,5.724688888888889,79,986.5,6.4,3.31,29.4,0.407,Thailand,nakhon_ratchasima
Thailand/nakhon_ratchasima,2010,7,27.4,8.4,7.622458333333333,77,987.6,6.8,3.45,29.0,0.442,Thailand,nakhon_ratchasima
Thailand/nakhon_ratchasima,2010,7,27.5,18.2,11.0,78,988.7,5.8,4.57,29.6,0.453,Thailand,nakhon_ratchasima
Thailand/nakhon_ratchasima,2010,7,27.8,0.8,9.051052777777779,77,988.5,4.9,4.14,29.5,0.464,Thailand,nakhon_ratchasima
Thailand/nakhon_ratchasima,2010,7,28.8,0.0,12.365647222222222,70,988.1,6.1,5.46,30.2,0.429,Thailand,nakhon_ratchasima
