country,product_name,price_min,price_max,price_avg_yuan_per_ton,currency,note
Vietnam,bagasse_biogas,150,250,200,yuan_per_ton,越南蔗渣沼气价格(估算)
China,molasses_alcohol,2000,3500,2800,yuan_per_ton,糖蜜酒精价格(来源: 广西糖业协会 2023年酒精出厂价)
Thailand,molasses_alcohol,1800,3000,2400,yuan_per_ton,"泰国糖蜜酒精价格(估算, 参考泰国Mitr Phol集团酒精出口价)"
Vietnam,molasses_alcohol,1600,2800,2200,yuan_per_ton,"越南糖蜜酒精价格(估算, 参考越南Bien Hoa Sugar酒精出厂价)"
China,molasses_yeast,3000,5000,4000,yuan_per_ton,糖蜜酵母/饲料蛋白价格(来源: 中国生物发酵产业协会)
Thailand,molasses_yeast,2500,4200,3400,yuan_per_ton,"泰国糖蜜酵母价格(估算, 参考泰国Thai Roong Ruang酵母业务)"
Vietnam,molasses_yeast,2200,3800,3000,yuan_per_ton,"越南糖蜜酵母价格(估算, 参考越南行业报告)"
China,sugarcane_leaf_animal_feed,250,400,320,yuan_per_ton,蔗叶饲料化价格(来源: 广西畜牧站 蔗叶青贮饲料推广项目)
Thailand,sugarcane_leaf_animal_feed,180,350,260,yuan_per_ton,泰国蔗叶饲料价格(估算)
Vietnam,sugarcane_leaf_animal_feed,150,300,220,yuan_per_ton,越南蔗叶饲料价格(估算)
China,sugarcane_top_animal_feed,200,350,280,yuan_per_ton,蔗梢饲料化价格(来源: 广西畜牧站)
Thailand,sugarcane_top_animal_feed,150,280,220,yuan_per_ton,"泰国蔗梢饲料价格(估算, 参考泰国饲料协会)"
Vietnam,sugarcane_top_animal_feed,130,250,190,yuan_per_ton,"越南蔗梢饲料价格(估算, 参考越南饲料协会)"
Myanmar,sugarcane_procurement,500,700,600,yuan_per_ton,"缅甸甘蔗收购价(估算, 参考FAO/缅甸农业统计)"
Myanmar,sugarcane_leaf,100,200,150,yuan_per_ton,缅甸蔗叶价格(估算)
Myanmar,biomass_pellet,180,350,260,yuan_per_ton,缅甸生物质颗粒价格(估算)
Myanmar,bagasse,200,350,280,yuan_per_ton,缅甸蔗渣价格(估算)
Myanmar,filter_mud,30,80,50,yuan_per_ton,缅甸滤泥价格(估算)
Myanmar,organic_fertilizer,200,350,280,yuan_per_ton,缅甸有机肥价格(估算)
Myanmar,molasses,500,800,650,yuan_per_ton,缅甸糖蜜价格(估算)
Myanmar,molasses_direct,500,800,650,yuan_per_ton,缅甸糖蜜直接销售价格(估算)
Myanmar,molasses_deep_processed,1000,1800,1400,yuan_per_ton,缅甸糖蜜深加工价格(估算)
Myanmar,carbon_credit,30,50,40,yuan_per_ton,"缅甸碳信用价格(估算, 参考国际自愿碳市场)"
Myanmar,bagasse_tableware,700,1200,950,yuan_per_ton,缅甸蔗渣餐具价格(估算)
Myanmar,bagasse_pulp_paper,350,550,450,yuan_per_ton,缅甸蔗渣纸浆价格(估算)
Myanmar,bagasse_plywood,300,450,370,yuan_per_ton,缅甸蔗渣板材价格(估算)
Myanmar,bagasse_biogas,150,250,200,yuan_per_ton,缅甸蔗渣沼气价格(估算)
Myanmar,molasses_alcohol,1500,2500,2000,yuan_per_ton,缅甸糖蜜酒精价格(估算)
Myanmar,molasses_yeast,2000,3500,2800,yuan_per_ton,缅甸糖蜜酵母价格(估算)
Myanmar,sugarcane_leaf_animal_feed,150,280,220,yuan_per_ton,缅甸蔗叶饲料价格(估算)
Myanmar,sugarcane_top_animal_feed,130,250,190,yuan_per_ton,缅甸蔗梢饲料价格(估算)
Laos,sugarcane_procurement,400,600,500,yuan_per_ton,"老挝甘蔗收购价(估算, 参考FAO/老挝农业统计)"
Laos,sugarcane_leaf,80,180,130,yuan_per_ton,老挝蔗叶价格(估算)
Laos,biomass_pellet,150,300,220,yuan_per_ton,老挝生物质颗粒价格(估算)
Laos,bagasse,180,300,240,yuan_per_ton,老挝蔗渣价格(估算)
Laos,filter_mud,25,70,45,yuan_per_ton,老挝滤泥价格(估算)
Laos,organic_fertilizer,180,300,240,yuan_per_ton,老挝有机肥价格(估算)
Laos,molasses,400,700,550,yuan_per_ton,老挝糖蜜价格(估算)
Laos,molasses_direct,400,700,550,yuan_per_ton,老挝糖蜜直接销售价格(估算)
Laos,molasses_deep_processed,800,1500,1200,yuan_per_ton,老挝糖蜜深加工价格(估算)
Laos,carbon_credit,25,45,35,yuan_per_ton,"老挝碳信用价格(估算, 参考国际自愿碳市场)"
Laos,bagasse_tableware,600,1000,800,yuan_per_ton,老挝蔗渣餐具价格(估算)
Laos,bagasse_pulp_paper,300,500,400,yuan_per_ton,老挝蔗渣纸浆价格(估算)
Laos,bagasse_plywood,250,400,320,yuan_per_ton,老挝蔗渣板材价格(估算)
Laos,bagasse_biogas,130,220,180,yuan_per_ton,老挝蔗渣沼气价格(估算)
Laos,molasses_alcohol,1300,2200,1800,yuan_per_ton,老挝糖蜜酒精价格(估算)
Laos,molasses_yeast,1800,3000,2400,yuan_per_ton,老挝糖蜜酵母价格(估算)
Laos,sugarcane_leaf_animal_feed,120,250,180,yuan_per_ton,老挝蔗叶饲料价格(估算)
Laos,sugarcane_top_animal_feed,100,220,160,yuan_per_ton,老挝蔗梢饲料价格(估算)
