country,year,planting_area_ha,production_tons,yield_per_ha_tons,yield_per_mu_tons,gs_avg_temp_c,gs_precip_mm,gs_sunshine_h,gs_humidity_pct,gs_pressure_hpa,gs_wind_ms,gs_et0_mm,gs_soil_temp_c,gs_soil_moisture
Myanmar,2015,165000.0,9800000.0,59.39,3.9593,26.874184782608694,2310.1499999999996,1356.2952555555557,86.91847826086956,1007.1499999999999,7.939945652173913,567.28,28.3366847826087,0.39923641304347823
Myanmar,2016,168000.0,10200000.0,60.71,4.0473,27.044836956521742,2322.4,1291.7023291666667,86.66032608695653,1006.1160326086957,7.8350543478260875,570.8299999999999,28.63070652173913,0.4015733695652174
Myanmar,2017,170000.0,10500000.0,61.76,4.1173,26.87744565217391,2499.3,1245.6234291666665,87.53804347826087,1006.2404891304348,7.664945652173913,530.765,28.400543478260868,0.3942065217391304
Myanmar,2018,172000.0,10300000.0,59.88,3.992,26.84728260869565,2307.2,1170.442311111111,87.75543478260869,1006.1641304347827,8.742391304347827,539.56,28.161413043478262,0.3932065217391304
Myanmar,2019,175000.0,10800000.0,61.71,4.114,27.45054347826087,2251.7,1266.1606583333332,86.14673913043478,1006.3896739130436,8.622010869565218,581.505,28.508695652173913,0.36107608695652177
Myanmar,2020,180000.0,9500000.0,52.78,3.5187,27.527989130434783,1999.7,1351.7589972222222,85.94836956521739,1005.9470108695652,7.808152173913044,598.2850000000001,28.533967391304348,0.3768641304347826
Myanmar,2021,178000.0,8900000.0,50.0,3.3333,27.22826086956522,2268.3,1295.0147722222223,86.85326086956522,1006.1410326086957,8.051358695652173,576.7049999999999,28.10461956521739,0.38184782608695655
Myanmar,2022,170000.0,10000000.0,58.82,3.9213,26.720923913043478,2756.35,1290.7568152777778,86.8288043478261,1005.8815217391304,7.560054347826087,595.755,27.66603260869565,0.3919266304347826
Myanmar,2023,168000.0,10200000.0,60.71,4.0473,26.97608695652174,2979.6,1232.343436111111,87.48913043478261,1006.5141304347826,7.679619565217392,585.29,27.852445652173913,0.38543206521739126
Myanmar,2024,165000.0,10000000.0,60.61,4.0407,27.173097826086956,3089.1,1206.5253319444446,87.6086956521739,1006.0728260869566,7.547554347826087,583.76,27.977445652173913,0.38383967391304347
Thailand,2015,1700000.0,85000000.0,50.0,3.3333,27.86875,899.3,1699.3906819444446,74.88043478260869,988.8065217391304,8.700271739130436,792.28,29.40434782608696,0.38126086956521743
Thailand,2016,1720000.0,87000000.0,50.58,3.372,27.80163043478261,1001.55,1671.8663263888889,76.73097826086956,987.8744565217391,7.985869565217392,745.26,29.316576086956523,0.3982554347826087
Thailand,2017,1750000.0,90000000.0,51.43,3.4287,27.308423913043477,1339.05,1581.698425,79.24184782608695,988.116847826087,8.360597826086956,698.115,28.83777173913043,0.45555434782608695
Thailand,2018,1730000.0,88000000.0,50.87,3.3913,27.703804347826086,862.35,1640.0509277777778,75.7961956521739,987.9695652173914,10.210054347826087,783.39,29.25380434782609,0.4164510869565218
Thailand,2019,1780000.0,92000000.0,51.69,3.446,28.62309782608696,948.0,1692.4498888888888,71.15489130434781,987.973097826087,10.714402173913044,847.575,30.267391304347825,0.3733722826086957
Thailand,2020,1900000.0,74900000.0,39.42,2.628,28.07608695652174,1262.25,1658.2897569444444,75.98097826086956,987.8065217391304,8.379619565217393,769.235,29.542391304347827,0.4151304347826087
Thailand,2021,1856000.0,66700000.0,35.94,2.396,27.842934782608694,1276.9,1678.0057833333333,77.02173913043478,987.972554347826,9.011141304347827,779.9,29.130978260869565,0.4151739130434783
Thailand,2022,1750000.0,93900000.0,53.66,3.5773,26.989402173913046,1318.65,1637.1326041666666,78.11956521739131,987.9043478260869,8.415489130434782,761.72,28.346467391304348,0.43335054347826085
Thailand,2023,1700000.0,82200000.0,48.35,3.2233,28.326086956521742,1109.25,1699.382786111111,75.08967391304347,988.1176630434784,8.773641304347827,831.46,29.749184782608697,0.41986956521739127
Thailand,2024,1680000.0,92040000.0,54.79,3.6527,28.32663043478261,1161.4,1718.813347222222,75.78804347826087,987.7902173913043,8.526902173913044,828.75,29.748641304347828,0.4294510869565218
Vietnam,2015,280000.0,17000000.0,60.71,4.0473,28.45679347826087,1028.85,1746.3901125,78.16576086956522,1006.2535326086957,8.48016304347826,795.785,29.873641304347828,0.4179239130434782
Vietnam,2016,285000.0,17800000.0,62.46,4.164,28.37608695652174,1421.4,1680.7917333333335,79.31521739130434,1005.3793478260868,8.817119565217391,757.065,29.97364130434783,0.4239266304347826
Vietnam,2017,290000.0,18500000.0,63.79,4.2527,27.452717391304347,1846.15,1583.924148611111,83.50543478260869,1006.0983695652174,7.871739130434783,690.395,29.059782608695652,0.4629429347826087
Vietnam,2018,288000.0,18200000.0,63.19,4.2127,27.657880434782612,1579.5,1616.9729,81.95923913043478,1005.7249999999999,8.461141304347827,720.535,29.195380434782606,0.4532934782608695
Vietnam,2019,292000.0,18800000.0,64.38,4.292,28.205434782608698,1501.8,1662.1393902777777,80.51086956521739,1005.7597826086957,8.956521739130434,759.1,29.49157608695652,0.4350978260869565
Vietnam,2020,153000.0,9635600.0,62.98,4.1987,28.398369565217394,1936.9499999999998,1672.6967916666667,80.0625,1005.5733695652175,8.418478260869566,770.075,29.976358695652173,0.41700543478260865
Vietnam,2021,146000.0,8000000.0,54.79,3.6527,27.958695652173915,1715.4499999999998,1670.4443208333332,81.14945652173913,1005.8070652173913,8.858423913043477,760.715,29.14483695652174,0.43230163043478265
Vietnam,2022,151300.0,8760000.0,57.9,3.86,27.13478260869565,1916.0,1603.5755027777777,83.13315217391303,1005.9741847826087,7.796195652173914,741.51,28.435326086956522,0.4509945652173913
Vietnam,2023,160000.0,10953000.0,68.46,4.564,28.08016304347826,1647.6,1629.7836972222221,81.39402173913044,1006.0652173913044,8.071739130434782,762.59,29.458695652173912,0.43192663043478263
Vietnam,2024,155000.0,10500000.0,67.74,4.516,27.97961956521739,1677.7,1658.3702055555555,82.1141304347826,1005.723097826087,7.915760869565218,758.4549999999999,29.34076086956522,0.4375760869565217
